ISINCode,AssetClass,SubAssetClass,IndexName,IndexAgg,IndexCode,IndexFamily,IndexProvider,ReturnType,RebalanceFrequency,ActivelyManaged,Backing,Synthetic,CurrencyHedge,HedgeFrom,HedgeTo,Development,Region,Country,EquitySize,EquityIsSector,EquitySectorCycles,EquitySector,EquitySubSector,EquityIsThematic,IsESG,EquityESGType,EquityIsFactor,EquityIsIncome,EquityIsValue,EquityIsQuality,EquityIsMomentum,EquityIsSize,EquityIsGrowth,EquityIsLowVol,EquityBetaCorrelation,FactorIsMultiFactor,EquityFactorDes,EquityIsStrategy,EquityBuybackYield,EquityIsCapped,EquityIsEqualWeight,EquityIsRiskWeight,EquityIsAlternativeWeight,EquityStrategyRevenueAbroad,EquityStrategyDes,FixedIncomeCategory,FixedIncomeType,FixedIncomeMaturityGroup,FixedIncomeMaturityName,FixedIncomeRatingGroup,FixedIncomeRating,FixedIncomeDominateCurrencyGroup,FixedIncomeDominateCurrency,FixedIncomeSector,FixedIncomeIsFloating,FixedIncomeFloatingFixed,FixedIncomeIsFactor,FixedIncomeIsLiquidity,FixedIncomeIsYield,FixedIncomeIsMomentum,FixedIncomeIsCarry,FixedIncomeIsQuality,FixedIncomeIsValue,FixedIncomeFactorDes,FixedIncomeIsStrategy,FixedIncomeInflationBreakeven,FixedIncomeDurationNeutral,FixedIncomeAlternativeWeight,FixedIncomeIsCapped,FixedIncomeStrategyDes,CurrencyType,CurrencyBucket1,CurrencyBucket2,CommoditySector,CommodityUnderlying,CommoditySpotForward,CommodityRollOptimised,CommodityPhysicalHeld,CommodityIsCapped,CommodityAlternativeWeight,CommodityStrategyDes,StructuredType,StructuredTracking,StructuredMultiple,StructuredLeverage,StructuredSector,ClassLevel1,ClassLevel2,ClassLevel3,ClassType
IE00BYV12Y75,Fixed Income,Fixed Income,Bloomberg Barclays 3-10 Year US Corporate Bond Index,Bloomberg Barclays US Corporate 3-10 Years,BB00116,Bloomberg Barclays Credit/Corporate,Bloomberg Indices,Net Total Return,Monthly,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Corporate,Investment Grade,Intermediate (3-10Y),3-10Y,Investment Grade,Investment Grade,USD,USD,,FALSE,Fixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,Global IG USD: Intermediate,Global IG,Global Investment Grade Corp,IG
IE00BYSZ5Z42,Fixed Income,Fixed Income,Bloomberg Barclays Euro 7-10 Year Treasury Bond Index - EUR,Bloomberg Barclays Euro Government 7-10 Year,BB00177,Bloomberg Barclays Treasury/Government,Bloomberg Indices,Net Total Return,Monthly,FALSE,Physical,-,FALSE,-,-,Developed,Europe,EuroZone,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Government Related,Government,Intermediate (3-10Y),7-10Y,Investment Grade,Investment Grade,EUR,EUR,,FALSE,Fixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,EuroZone Government: Intermediate,EuroZone Government,Europe Government,Government
LU1829218319,Fixed Income,Fixed Income,Bloomberg Barclays MSCI EUR Corporate Liquid FRN 0-7 Year SRI Sustainable Index,Bloomberg Barclays MSCI EUR Corporate Liquid FRN 0-7 Year SRI Sustainable,BB00146,Bloomberg Barclays MSCI ESG,Bloomberg Indices,Total Return,Monthly,FALSE,Synthetic,Unfunded,FALSE,-,-,Developed,Global,Global Developed,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Corporate,Investment Grade,Intermediate (3-10Y),0-7Y,Investment Grade,Investment Grade,EUR,EUR,,TRUE,Floating,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,Equal Weighted,FALSE,Equal Weighted,,,,,,,,,,,,,,,,,Global IG EUR: Equal Weighted,Global IG,Global Investment Grade Corp,IG
IE00BF59RW70,Fixed Income,Fixed Income,Bloomberg Barclays EUR Corp Bonds 1-5 Y TR EUR,Bloomberg Barclays Euro Corporate 1-5 Year,BB00101,Bloomberg Barclays Credit/Corporate,Bloomberg Indices,-,Monthly,FALSE,-,-,FALSE,-,-,Developed,Global,Global Developed,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Corporate,Investment Grade,Intermediate (3-10Y),1-5Y,Investment Grade,Investment Grade,EUR,EUR,,FALSE,Fixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,Global IG EUR: Intermediate,Global IG,Global Investment Grade Corp,IG
LU0969639128,Fixed Income,Fixed Income,Bloomberg Barclays Euro Treasury 1-10 Bond Index - EUR,Bloomberg Barclays Euro Treasury 1-10 Year,BB00185,Bloomberg Barclays Treasury/Government,Bloomberg Indices,Gross Total Return,Monthly,FALSE,Physical,-,FALSE,-,-,Developed,Europe,EuroZone,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Government Related,Government,Intermediate (3-10Y),1-10Y,Investment Grade,Investment Grade,EUR,EUR,,FALSE,Fixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,EuroZone Government: Intermediate,EuroZone Government,Europe Government,Government
IE00BS7K8821,Fixed Income,Fixed Income,Bloomberg Barclays Euro 3-5 Year Treasury Bond Index,Bloomberg Barclays Euro Government 3-5 Year,BB00172,Bloomberg Barclays Treasury/Government,Bloomberg Indices,Gross Total Return,Monthly,FALSE,Physical,-,FALSE,-,-,Developed,Europe,EuroZone,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Government Related,Government,Intermediate (3-10Y),3-5Y,Investment Grade,Investment Grade,EUR,EUR,,FALSE,Fixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,EuroZone Government: Intermediate,EuroZone Government,Europe Government,Government
LU1048314436,Fixed Income,Fixed Income,Bloomberg Barclays Euro Area Liquid Corporates 1-5 Year hedged to USD Index,Bloomberg Barclays Euro Area Liquid Corporates 1-5 Year,BB00098,Bloomberg Barclays Credit/Corporate,Bloomberg Indices,Total Return,Monthly,FALSE,Physical,-,TRUE,EUR,USD,Developed,Europe,EuroZone,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Corporate,Investment Grade,Intermediate (3-10Y),1-5Y,Investment Grade,Investment Grade,EUR,EUR,,FALSE,Fixed,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,EuroZone IG: Intermediate,EuroZone IG,Europe Investment Grade Corp,IG
IE00B4L60045,Fixed Income,Fixed Income,Bloomberg Barclays Euro Corporate 1-5 Year Bond Index - EUR,Bloomberg Barclays Euro Corporate 1-5 Year,BB00101,Bloomberg Barclays Credit/Corporate,Bloomberg Indices,Gross Total Return,Monthly,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Corporate,Investment Grade,Intermediate (3-10Y),1-5Y,Investment Grade,Investment Grade,EUR,EUR,,FALSE,Fixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,Global IG EUR: Intermediate,Global IG,Global Investment Grade Corp,IG
LU1525418643,Fixed Income,Fixed Income,Bloomberg Barclays Euro Corporate BBB 1-5 Year Index - EUR,Bloomberg Barclays Euro Corporate BBB 1-5 Year,BB00102,Bloomberg Barclays Credit/Corporate,Bloomberg Indices,-,Monthly,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Corporate,High Yield,Intermediate (3-10Y),1-5Y,High Yield,Baa1 - Baa3,EUR,EUR,,FALSE,Fixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,Global HY EUR: Intermediate,Global HY,Global High Yield Corp,HY
IE00B3VTN290,Fixed Income,Fixed Income,Bloomberg Barclays Euro Government Bond 10 Year Term Index - EUR,Bloomberg Barclays Euro Government 10 Year,BB00169,Bloomberg Barclays Treasury/Government,Bloomberg Indices,Gross Total Return,Monthly,FALSE,Physical,-,FALSE,-,-,Developed,Europe,EuroZone,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Government Related,Government,Intermediate (3-10Y),7-10Y,Investment Grade,Investment Grade,EUR,EUR,,FALSE,Fixed,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,EuroZone Government: Intermediate,EuroZone Government,Europe Government,Government
