AssetClass,Column,Label,Item,Count
Equity,Country,Region,Global Broad,1007
Equity,Country,Region,Global Developed,368
Equity,Country,Region,Global Emerging,143
Equity,Country,Region,Global Dev. ex-Europe,4
Equity,Country,Region,Global ex-UK,1
Equity,Country,Region,EuroZone,351
Equity,Country,Region,Europe Developed,297
Equity,Country,Region,Europe Dev. ex-UK,15
Equity,Country,Region,Europe Emerging,6
Equity,Country,Region,Europe Nordic,4
Equity,Country,Region,Europe ex-EuroZone,2
Equity,Country,Region,EMEA Emerging,1
Equity,Country,Region,Europe Broad,1
Equity,Country,Region,Europe Dev. ex-Switzerland,1
Equity,Country,Region,Asia Dev. ex-Japan,17
Equity,Country,Region,Asia ex-Japan,14
Equity,Country,Region,Asia Emerging,13
Equity,Country,Region,Asia Developed,5
Equity,Country,Region,Asia Broad,4
Equity,Country,Region,North America,16
Equity,Country,Region,Latin America,9
Equity,Country,Region,Middle East Gulf,1
Equity,Country,Country,US,332
Equity,Country,Country,UK,57
Equity,Country,Country,Germany,41
Equity,Country,Country,Japan,132
Equity,Country,Country,China,39
Equity,Country,Country,Switzerland,34
Equity,Country,Country,Canada,14
Equity,Country,Country,India,13
Equity,Country,Country,Italy,12
Equity,Country,Country,France,11
Equity,Country,Country,Sweden,11
Equity,Country,Country,Australia,10
Equity,Country,Country,Brazil,10
Equity,Country,Country,Russia,10
Equity,Country,Country,South Korea,8
Equity,Country,Country,Spain,6
Equity,Country,Country,Taiwan,6
Equity,Country,Country,South Africa,5
Equity,Country,Country,Turkey,5
Equity,Country,Country,HK,4
Equity,Country,Country,Indonesia,4
Equity,Country,Country,Malaysia,4
Equity,Country,Country,Mexico,4
Equity,Country,Country,Netherlands,4
Equity,Country,Country,Norway,4
Equity,Country,Country,Saudi Arabia,4
Equity,Country,Country,Austria,3
Equity,Country,Country,Kuwait,3
Equity,Country,Country,Poland,3
Equity,Country,Country,Africa,2
Equity,Country,Country,Greece,2
Equity,Country,Country,Singapore,2
Equity,Country,Country,Thailand,2
Equity,Country,Country,Bangladesh,1
Equity,Country,Country,Belgium,1
Equity,Country,Country,Bulgaria,1
Equity,Country,Country,Croatia,1
Equity,Country,Country,Czech Republic,1
Equity,Country,Country,Denmark,1
Equity,Country,Country,Finland,1
Equity,Country,Country,Hungary,1
Equity,Country,Country,Iceland,1
Equity,Country,Country,Ireland,1
Equity,Country,Country,Israel,1
Equity,Country,Country,Macedonia,1
Equity,Country,Country,Pakistan,1
Equity,Country,Country,Philippines,1
Equity,Country,Country,Portugal,1
Equity,Country,Country,Romania,1
Equity,Country,Country,Serbia,1
Equity,Country,Country,Slovakia,1
Equity,Country,Country,Slovenia,1
Equity,Country,Country,Vietnam,1
Equity,EquitySector,Sector,Information Technology,53
Equity,EquitySector,Sector,Materials,43
Equity,EquitySector,Sector,Consumer Discretionary,39
Equity,EquitySector,Sector,Financials,33
Equity,EquitySector,Sector,Energy,30
Equity,EquitySector,Sector,Healthcare,28
Equity,EquitySector,Sector,Industrials,26
Equity,EquitySector,Sector,Consumer Staples,20
Equity,EquitySector,Sector,Telecommunications,15
Equity,EquitySector,Sector,Utilities,15
Equity,EquitySector,Sector,ex-Financials,6
